-1011, -0.776303, -0.0253211, 0, 0, 0, 0.00176464, 342
-1012, -0.792633, -0.0111933, 0, 0, 0, 0.00193171, 356
-1021, 0.718526, 0.116925, 0, 0, 0, -0.00177408, 432
-1022, 0.745853, 0.0892052, 0, 0, 0, -0.00229499, 441
-1031, -0.798101, 0.156537, 0, 0, 0, 0.0013979, 376
-1032, -0.784677, 0.233229, 0, 0, 0, 0.0013172, 392
-1051, -0.790597, 0.0883431, 0, 0, 0, 0.0012374, 363
-1052, -0.784543, 0.0321898, 0, 0, 0, 0.00152018, 377
-1091, -0.576818, -0.323702, 0, 0, 0, 0.00228083, 349
-1092, -0.569664, -0.399074, 0, 0, 0, 0.00235019, 358
-1101, 0.445085, -0.358602, 0, 0, 0, -0.00178993, 370
-1102, 0.458394, -0.504272, 0, 0, 0, -0.00222749, 432
-1111, -0.474689, -0.0814928, 0, 0, 0, 0.00058888, 358
-1112, -0.460706, -0.0944894, 0, 0, 0, 0.000494178, 350
-1121, 0.250625, -0.308001, 0, 0, 0, -0.000256323, 442
-1122, 0.239664, -0.424999, 0, 0, 0, 1.1168e-05, 445
-1131, -0.356489, -0.57282, 0, 0, 0, 0.00170525, 360
-1132, -0.351884, -0.482994, 0, 0, 0, 0.0014942, 376
-1141, 0.108386, -0.373856, 0, 0, 0, -0.00107374, 474
-1142, 0.0972267, -0.377122, 0, 0, 0, -0.000931589, 488
-1151, -0.058761, -0.392954, 0, 0, 0, 0.00134951, 329
-1152, -0.0779103, -0.3617, 0, 0, 0, 0.00166135, 368
-1161, -0.057521, -0.494574, 0, 0, 0, -0.000308552, 382
-1162, -0.0538575, -0.441765, 0, 0, 0, -0.00025569, 418
-1171, -0.0131664, -0.251914, 0, 0, 0, 0.00178148, 393
-1172, 0.00270395, -0.182973, 0, 0, 0, 0.00191553, 401
-1181, -0.125488, -0.294473, 0, 0, 0, -0.000745703, 489
-1182, -0.150054, -0.324988, 0, 0, 0, -0.000799614, 486
-1191, -0.135567, -0.24909, 0, 0, 0, 0.00187004, 328
-1192, -0.1081, -0.101147, 0, 0, 0, 0.0021082, 350
-1201, -0.21491, -0.0849411, 0, 0, 0, -0.00152376, 469
-1202, -0.210459, -0.212689, 0, 0, 0, -0.00139534, 483
-1211, -0.0291764, -0.046544, 0, 0, 0, 0.00251258, 358
-1212, 0.000578345, 0.146784, 0, 0, 0, 0.00216463, 390
-1221, -0.203321, 0.222515, 0, 0, 0, -0.000511662, 331
-1222, -0.209208, 0.119339, 0, 0, 0, -0.000893766, 484
-1231, 0.0825053, 0.0983017, 0, 0, 0, 0.00107979, 391
-1232, 0.0787319, 0.102916, 0, 0, 0, 0.00134324, 399
-1241, -0.185798, 0.157624, 0, 0, 0, -0.00110004, 457
-1242, -0.14287, 0.0817982, 0, 0, 0, -0.00100539, 490
-1251, 0.266942, 0.0107979, 0, 0, 0, 0.000757716, 352
-1252, 0.253109, 0.00398889, 0, 0, 0, 0.000711863, 395
-1261, -0.0908804, 0.186798, 0, 0, 0, -0.000886045, 450
-1262, -0.0939873, 0.320302, 0, 0, 0, -0.000373712, 449
-1271, 0.0209406, 0.257905, 0, 0, 0, 0.000799714, 360
-1272, -0.00882406, 0.294298, 0, 0, 0, 0.000908522, 373
-1281, 0.0394289, 0.386449, 0, 0, 0, -0.000406544, 421
-1282, 0.0181339, 0.439067, 0, 0, 0, -0.000141234, 497
-1291, -0.143383, 0.262645, 0, 0, 0, 0.00191666, 351
-1292, -0.164693, 0.483913, 0, 0, 0, 0.00206594, 347
-1301, 0.184867, 0.26964, 0, 0, 0, -0.000677118, 441
-1302, 0.190928, 0.312517, 0, 0, 0, -0.000735509, 477
-1311, -0.35432, 0.519745, 0, 0, 0, 0.00117723, 376
-1312, -0.369256, 0.315437, 0, 0, 0, 0.000989505, 378
-1321, 0.367971, 0.523523, 0, 0, 0, -0.000832474, 450
-1322, 0.365771, 0.550338, 0, 0, 0, -0.000521759, 451
-1331, -0.52682, 1.01447, 0, 0, 0, 0.00184381, 339
-1332, -0.553343, 0.910618, 0, 0, 0, 0.00169472, 367
-1342, 0.555736, 0.163971, 0, 0, 0, -0.00131945, 443
-1351, -0.751361, 0.293429, 0, 0, 0, 0.00111173, 362
-1352, -0.747455, 0.354927, 0, 0, 0, 0.00124606, 369
-1361, 0.674529, 0.250987, 0, 0, 0, -0.00208489, 395
-1362, 0.688275, 0.268141, 0, 0, 0, -0.00198233, 424
1011, 0.342682, 0.495774, 0, 0, 0, -0.00151031, 356
1012, 0.334345, 0.80867, 0, 0, 0, -0.00128746, 361
1021, -0.275548, 0.345101, 0, 0, 0, 0.000597901, 460
1022, -0.295655, 0.469886, 0, 0, 0, 0.000278696, 488
1031, 0.416386, 0.475465, 0, 0, 0, -0.000188776, 373
1032, 0.430703, 0.470403, 0, 0, 0, -0.000273879, 383
1041, -0.327625, 0.334293, 0, 0, 0, 0.000291178, 457
1042, -0.343052, 0.292295, 0, 0, 0, 0.000387829, 464
1051, 0.461317, -0.191734, 0, 0, 0, -0.00140518, 250
1052, 0.471325, 0.127144, 0, 0, 0, -0.00124632, 355
1061, -0.319976, 0.133377, 0, 0, 0, -0.000223901, 387
1062, -0.345439, 0.0244934, 0, 0, 0, 0.000274812, 465
1071, 0.326282, 0.125702, 0, 0, 0, -0.000264791, 395
1072, 0.327517, 0.0918866, 0, 0, 0, -0.000208871, 402
1081, -0.29425, 0.0435146, 0, 0, 0, 0.000121535, 448
1082, -0.302069, 0.025084, 0, 0, 0, -9.45917e-05, 467
1091, 0.232775, 0.0835198, 0, 0, 0, 0.000386455, 359
1092, 0.240079, 0.310691, 0, 0, 0, 8.1158e-05, 359
1102, -0.110599, -0.242609, 0, 0, 0, -9.31956e-05, 421
1111, 0.154245, 0.0955074, 0, 0, 0, -0.000289546, 368
1112, 0.171921, 0.353712, 0, 0, 0, -0.000158764, 413
1121, -0.0418284, -0.0469147, 0, 0, 0, -0.00109232, 349
1122, -0.0629436, 0.163732, 0, 0, 0, -0.00106279, 458
1131, -0.00911839, -0.21557, 0, 0, 0, 0.000693095, 385
1132, -0.00587522, -0.227623, 0, 0, 0, 0.00031265, 400
1141, 0.123352, -0.181385, 0, 0, 0, -0.00110312, 381
1142, 0.133243, -0.123821, 0, 0, 0, -0.00120757, 462
1161, 0.145753, -0.235635, 0, 0, 0, 0.000330999, 407
1162, 0.159325, -0.200434, 0, 0, 0, 0.000167999, 421
1171, -0.217844, 0.0984788, 0, 0, 0, 1.58125e-05, 379
1172, -0.212605, 0.0959044, 0, 0, 0, -0.000224643, 382
1181, 0.396321, -0.0508304, 0, 0, 0, -0.00127396, 456
1182, 0.382479, 0.0176047, 0, 0, 0, -0.00110314, 466
1191, -0.346312, -0.346565, 0, 0, 0, -0.000185382, 374
1192, -0.346252, -0.309656, 0, 0, 0, -0.000141977, 375
1201, 0.297769, -0.116438, 0, 0, 0, -0.000164001, 454
1202, 0.298386, -0.165108, 0, 0, 0, 0.000110782, 445
1211, -0.426931, -0.283952, 0, 0, 0, 0.000145517, 391
